"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2578.73594287061,2664.54994223581,2750.36394160101,2082.8079252853,2130.00292893734,2177.19793258938,1782.37308692042,1782.49389735261,1782.61471597342,1123.67946028834,1047.76728356562,971.855106842909,1096.91900119101,1027.44587468048,957.972748169944,7520.18447999192,7605.68684752497,7696.39294541911,2451.52991942256,2524.9089611744,2598.28800292624,2225.18256579966,2260.75723884393,2296.33191188821,1315.45837242191,1265.39319476349,1215.32801710506,965.876658412234,878.516882745277,791.15710707832,889.57162547937,796.025740218146,702.479854956921,1335.6250509641,1336.52473237284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3571.51291358504,3571.58374293672,3571.65457583859,4125.00389169892,4241.83807194199,4363.52585738021,3883.3957457778,3946.66081616667,4009.92588655554,3597.94339693415,3600.996683045,3604.06783571981,3179.18461897932,3121.89308645595,3066.67502119496,3208.03523539625,3175.93912922556,3144.40742813985,3704.17458389722,3714.86600186851,3725.6072724073,4442.3732945059,4555.26141915773,4672.29909135823,4507.29465835982,4563.51318116924,4621.15183955498,5106.07289749318,5199.41698035254,5291.93036465661,5503.48843273868,5600.98194190599,5698.4754510733,5990.89704536191,6086.96913926805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2351.91306673303,2400.76718754502,2451.48566855016,2355.82088501654,2427.38358524282,2498.94628546911,1856.48617583771,1880.0691801195,1903.65218440128,1833.5671904431,1819.97162722328,1806.63098177769,1936.70212102617,1916.89903486917,1897.09594871217,2364.19133053994,2376.45918531589,2388.95621161172,3040.01604357517,3199.99555667621,3371.87841871772,3030.78597194137,3136.45443811981,3247.83775606966,2610.59253328046,2610.73256548939,2610.87367053341,2936.29504605545,2983.926000317,3032.73839942306,6634.53069821862,6900.41465265262,7176.9541124179,5636.51131253917,5819.943902366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4915.81956744899,4787.93034741263,4660.04112737626,6563.73458214466,6762.87905305941,6962.02352397415,7034.08062526499,7226.70431119486,7419.32799712473,6742.24295236804,6857.04387206619,6975.27392860595,5107.88380112882,5009.6216225645,4911.35944400017,5447.79579479454,5373.1255295148,5298.45526423506,4841.82410010523,4753.15649685206,4664.48889359888,6271.2265788199,6365.50398104608,6459.78138327227,5975.61541147869,6004.00181774681,6032.38822401494,7231.18985014726,7352.00660662759,7472.82336310791,8039.02254485033,8173.68065107351,8308.33875729669,9562.40366522506,9856.05833316147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1663.6239873712,1618.69638671778,1573.76878606436,3999.9619490419,4097.91149712545,4194.61498964596,2641.72378111289,2690.62022691333,2739.51667271377,1495.33759498986,1465.62043779969,1438.05302540194,1694.25248088626,1659.97434755051,1625.69621421476,1440.67902172917,1378.31553237316,1315.95204301715,1561.96226584739,1517.89616523227,1473.83006461716,2509.81805504603,2596.97428902812,2688.78781349229,3304.82005305757,3467.24667173793,3637.6562988824,2817.02407063346,2877.07593126878,2937.1277919041,2229.62740300231,2211.55822372118,2193.63547932844,2522.5930871974,2522.59752221875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2840.71726505557,2840.71497523517,2840.71267778739,2779.95621693141,2780.03514346165,2780.1140699919,3147.64907246894,3174.03831091467,3200.4275493604,2786.03682720263,2785.95860373608,2785.88038026953,2829.56878893458,2837.11149436467,2844.65419979475,2799.60322185702,2787.43180532459,2775.26038879216,2524.21476701204,2490.27398458476,2456.33320215748,3969.91496274271,4160.60996050339,4363.86278741458,3160.91884613422,3183.6827749686,3206.44670380298,3115.11988438821,3112.89218797255,3110.65816003786,2513.57231736056,2477.17725307205,2440.78218878354,3632.79699406289,3679.52868182215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2310.61238708743,2289.97338426521,2269.33438144298,2516.65976255314,2477.4670506264,2439.41892110294,2594.88170643177,2572.74057175742,2550.93115348398,2640.74679053412,2636.17919717552,2631.61160381692,2744.93005035856,2758.20752183045,2771.48499330233,2395.59360292602,2392.33450931467,2389.05967208491,2114.09438331144,2073.97296170603,2035.64554140535,2831.27478585908,2854.67122847646,2878.53571843666,2515.72485945681,2526.9159391318,2538.10701880678,2561.4184742784,2560.76043396451,2560.10239365062,2457.78918053707,2466.0987316245,2474.40828271192,3225.00185929895,3265.09731220697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2806.48106837494,2788.25253506993,2770.02400176492,3129.30252044772,3146.99613052847,3164.84610243761,3256.36324340433,3308.92675418066,3362.73648368508,3323.20063753938,3334.68096413792,3346.16129073647,3182.5828987341,3182.88312502223,3183.18018279505,2769.78637499467,2737.74431989093,2706.34417643637,2764.43132096823,2734.26615754606,2704.1009941239,3215.78239997005,3215.73877927028,3215.69475125711,3354.72569953661,3366.88738952138,3379.11901508145,1757.54260490658,1764.69092956914,1771.75500327507,3593.81279228358,3638.26442741734,3682.7160625511,3672.8053676279,3700.84342180909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3239.66148215379,3197.69014607617,3155.42922961844,4933.62099592718,4944.44179886181,4955.25067937901,4557.42429320911,4577.88173380841,4598.48423324059,5415.68104650312,5438.69070988591,5461.60507226126,5467.82806860035,5490.9907000389,5514.09381533594,3195.74984423234,3163.07013142938,3130.72460111283,4631.84654540657,4600.71713720763,4569.46097188804,4872.66280777844,4826.75763949479,4781.28494203013,6674.46198640854,6670.77605438527,6667.08503407751,4375.28639495571,4409.29935086974,4443.31230678377,4710.7885889876,4747.77986558132,4784.77114217505,4819.19720926471,4821.61851500872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
