"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3059.54285004287,3049.5114773873,3039.48010473174,3029.44873207618,3019.41735942061,3009.38598676505,2999.35461410949,2989.32324145393,3107.42783667099,3102.33130095329,3097.23476523559,3092.13822951788,3087.04169380018,3081.94515808248,3076.84862236478,3071.75208664707,3186.96174099606,3204.76679737637,3222.71912770881,3240.81995016513,3259.07049299318,3277.47199460021,3296.02570363689,3314.73287908211,3905.51180588268,3918.80552894923,3932.09925201579,3945.39297508235,3958.68669814891,3971.98042121547,3985.27414428202,3998.56786734858,3630.69344202468,3619.49837377378,3608.24897933746,3596.94455702146,3585.58439031837,3574.16774747155,3562.69388102256,3551.16202734122,3938.95127191888,3954.98179151593,3971.07755120883,3987.23881650801,4003.46585400446,4019.75893137413,4036.11831738232,4052.54428188816,3643.05900415803,3626.80364634517,3610.65836695155,3594.6224205455,3578.6950667433,3562.87557017496,3547.16320045029,3531.55723212519,4664.37498444548,4725.46218021813,4786.54937599077,4847.63657176342,4908.72376753607,4969.81096330872,5030.89815908136,5091.98535485401,4616.57033484094,4603.7799705213,4590.97181250849,4578.14576137501,4565.30171671699,4552.43957714047,4539.55924024736,4526.6606026212,4256.13548289151,4238.23124444007,4220.40232355214,4202.64840339014,4184.96916844935,4167.36430455227,4149.83349884304,4132.3764397819,4156.26577812277,4155.86468312537,4155.46431450826,4155.06467095598,4154.66575115544,4154.26755379592,4153.87007756909,4153.47332116898,4395.64470825853,4410.1918160874,4424.73892391627,4439.28603174513,4453.833139574,4468.38024740287,4482.92735523173,NA,NA,NA,NA,NA,NA
"3",4664.37913733558,4621.57276554013,4577.36281670274,4531.63913104451,4484.27740068648,4435.13657693359,4384.05564569779,4330.84957474049,4744.15150638803,4744.24569849947,4744.33989061091,4744.43408272235,4744.52827483379,4744.62246694523,4744.71665905667,4744.8108511681,4762.97510636716,4762.96902711316,4762.96297388189,4762.95694656195,4762.95094504243,4762.94496921288,4762.93901896334,4762.93309418431,7307.21621490635,7578.1590867585,7844.33374895711,8106.05888379172,8363.61767195965,8617.26318633139,8867.22276658977,9113.70160188885,6025.38747692328,5968.45625242721,5912.06294592148,5856.20247485664,5800.86980470597,5746.05994851183,5691.76796643607,5637.98896531494,5928.75726501593,5952.67408584792,5976.68738799852,6000.79756067687,6025.00499466216,6049.31008231003,6073.71321755887,6098.21479593624,5617.89289964204,5581.51243724232,5545.36756816345,5509.45676674553,5473.77851720856,5438.33131358843,5403.11365967341,5368.12406894098,5961.3213630652,5978.83228542001,5996.39464476051,6014.0085921789,6031.67427921119,6049.39185783849,6067.16148048838,6084.98330003617,6817.03747612225,6765.13574451154,6713.03376889885,6660.72842576448,6608.21650532548,6555.49470809164,6502.55964124053,6449.40781479985,5983.92662610123,5947.91895470705,5911.80148620051,5875.57287193477,5839.23173401256,5802.77666437151,5766.20622383195,5729.51894110524,6596.19734558235,6620.93471501064,6645.76485568488,6670.68811552013,6695.70484373628,6720.81539086284,6746.02010874388,6771.31935054301,6667.25660688559,6682.07081093656,6696.8684772282,6711.64967906361,6726.41448917949,6741.16297975242,6755.89522240492,NA,NA,NA,NA,NA,NA
"4",1252.9640254587,1134.45750149987,1015.95097754103,897.444453582196,778.937929623361,660.431405664526,541.924881705691,423.418357746857,2660.0490429121,2798.93987209489,2937.83070127767,3076.72153046046,3215.61235964324,3354.50318882603,3493.39401800881,3632.2848471916,4863.82484509202,5178.64491715972,5493.46498922743,5808.28506129513,6123.10513336284,6437.92520543054,6752.74527749825,7067.56534956595,9542.17834395054,9956.1434055456,10370.1084671406,10784.0735287357,11198.0385903308,11612.0036519258,12025.9687135209,12439.9337751159,6567.9818132081,6507.6666440868,6447.35147496551,6387.03630584422,6326.72113672292,6266.40596760163,6206.09079848034,6145.77562935904,3242.93462170322,2979.49662155679,2703.83786828349,2413.31487251198,2104.08346936508,1770.12361761448,1400.88338450048,973.853587726505,2499.16263266843,2398.09286531318,2297.02309795793,2195.95333060268,2094.88356324744,1993.81379589219,1892.74402853694,1791.6742611817,1757.84659162013,1750.51097687456,1743.17536212899,1735.83974738341,1728.50413263784,1721.16851789227,1713.83290314669,1706.49728840112,6565.19231040006,7357.86041047626,8246.23366086207,9241.86730869676,10357.7117583919,11608.281020111,13009.84149638,14580.6235624121,5860.37847199818,5996.91758930825,6143.62636147089,6301.26224086938,6470.63909616873,6652.63141429179,6848.17881536536,7058.29090394689,8505.24739754446,8818.71117811577,9132.17495868708,9445.63873925839,9759.1025198297,10072.566300401,10386.0300809723,10699.4938615436,8037.73824034149,8348.96969461859,8672.25242690887,9008.05307803461,9356.85635774467,9719.16574436623,10095.5042115481,NA,NA,NA,NA,NA,NA
"5",4092.53549203358,3967.63011175397,3850.04707819193,3739.35713232491,3635.15617964596,3537.06381494064,3444.72193354606,3357.79342402234,4367.03221340692,4335.98745557703,4305.16339155968,4274.55845246653,4244.1710805623,4213.99972918545,4184.04286266951,4154.2989562649,5734.94006135886,5734.94732454836,5734.95458773787,5734.96185092737,5734.96911411688,5734.97637730639,5734.98364049589,5734.9909036854,11538.5303138602,12020.390376352,12502.2504388438,12984.1105013356,13465.9705638274,13947.8306263192,14429.690688811,14911.5507513028,11487.4326566155,11603.8671576664,11721.481817369,11840.288597594,11960.2995814552,12081.526974539,12203.983106145,12327.6804305406,8177.31172622505,7971.85479611911,7766.39786601316,7560.94093590721,7355.48400580126,7150.02707569532,6944.57014558937,6739.11321548342,5062.33990295729,4879.48357254919,4690.88423153697,4495.91463579744,4293.82217301147,4083.69039309849,3864.38380268039,3634.46602421453,5145.36249421958,5167.55455317933,5189.88875437165,5212.36600823098,5234.98723102314,5257.75334488275,5280.66527785076,5303.72396391233,5771.18510323926,5856.1506191354,5942.36702869763,6029.85274804393,6118.62646442114,6208.70714019664,6300.11401690881,6392.86661937701,8588.33844291861,8889.08877411999,9204.6649696723,9535.79788913226,9883.2544206941,10247.8392572663,10630.3967601023,11031.8129143014,10698.6460922453,10859.0338857195,11019.4216791937,11179.8094726678,11340.197266142,11500.5850596162,11660.9728530904,11821.3606465645,10102.4707342457,10094.1890869271,10085.9074396085,10077.6257922898,10069.3441449712,10061.0624976526,10052.7808503339,NA,NA,NA,NA,NA,NA
"6",5265.29221703416,5255.68706041313,5246.0819037921,5236.47674717106,5226.87159055003,5217.266433929,5207.66127730796,5198.05612068693,5055.02933840614,5041.62985020526,5028.23036200437,5014.83087380349,5001.43138560261,4988.03189740173,4974.63240920085,4961.23292099997,4946.47008984775,4938.83522918387,4931.21215290284,4923.60084281552,4916.00128076083,4908.41344860571,4900.8373282451,4893.27290160188,5002.32344497176,5004.03705481935,5005.75066466694,5007.46427451453,5009.17788436212,5010.89149420972,5012.6051040573,5014.3187139049,4931.57276247828,4924.8419493021,4918.12032261636,4911.40786988294,4904.70457858088,4898.01043620627,4891.32543027227,4884.6495483091,5144.79547504597,5156.62587499769,5168.4562749494,5180.28667490112,5192.11707485283,5203.94747480455,5215.77787475626,5227.60827470798,5226.64953167309,5234.4969346852,5242.3649152103,5250.25352720688,5258.16282477492,5266.09286215627,5274.04369373502,5282.01537403783,5193.04704760716,5193.18288081379,5193.31871757338,5193.45455788602,5193.59040175179,5193.7262491708,5193.86210014313,5193.99795466889,5193.8736464353,5194.22445351267,5194.57528428442,5194.92613875215,5195.27701691745,5195.62791878194,5195.9788443472,5196.32979361485,5044.65402667301,5034.89413590561,5025.11503277325,5015.31660387748,5005.49873470093,4995.66130959177,4985.80421174794,4975.9273232011,5057.95104771909,5059.92650510403,5061.902734033,5063.87973480732,5065.85750772846,5067.83605309798,5069.81537121758,5071.79546238906,5319.55815005468,5333.64534944543,5347.69382383353,5361.70388643972,5375.67584629674,5389.61000832715,5403.5066734194,NA,NA,NA,NA,NA,NA
"7",5410.29145293603,5408.53309654475,5406.77531162309,5405.01809798532,5403.26145544577,5401.50538381884,5399.74988291897,5397.99495256068,5219.49501584937,5216.59741813206,5213.6887394462,5210.76888846139,5207.83777268741,5204.89529845429,5201.94137089195,5198.97589390932,5293.42565015364,5296.76327988906,5300.09950967462,5303.43434156433,5306.76777760706,5310.09981984652,5313.43047032131,5316.75973106492,5412.21260176053,5426.70912677768,5441.20565179482,5455.70217681197,5470.19870182911,5484.69522684625,5499.1917518634,5513.68827688054,5276.22221387646,5268.89737459968,5261.58270420288,5254.27818856887,5246.98381360006,5239.69956521845,5232.42542936554,5225.1613920024,4907.03818717821,4872.9510852111,4839.10077180691,4805.48560209646,4772.10394263677,4738.95417133168,4706.03467735307,4673.34386106254,4644.7577858294,4621.6478697672,4598.47989941781,4575.25328765874,4551.96743689862,4528.62173880846,4505.21557404394,4481.74831195823,4622.53734318701,4629.89999762204,4637.27437909707,4644.66050629061,4652.05839791095,4659.46807269614,4666.88954941408,4674.3228468626,4663.19196791838,4666.99441333749,4670.79531032435,4674.59466139807,4678.39246907058,4682.1887358467,4685.98346422413,4689.77665669349,4480.65453350818,4464.04211719857,4447.39873032343,4430.72414063716,4414.01811282911,4397.28040846553,4380.51078592994,4363.70900036218,4516.52854152017,4528.53537855265,4540.5263179463,4552.50144356159,4564.46083848788,4576.40458505354,4588.33276483585,4600.24545867077,4315.61436479577,4298.94301988217,4282.22885480368,4265.47148059606,4248.67050219449,4231.82551829712,NA,NA,NA,NA,NA,NA,NA
"8",4535.08240269084,4520.01799476912,4505.0036270376,4490.03913327532,4475.12434781342,4460.25910553339,4445.44324186519,4430.67659278543,4831.20873477068,4861.35461586943,4891.78019258782,4922.48805996162,4953.48083710353,4984.76116742653,5016.33171886942,5048.19518412429,5072.96417173167,5093.9185629478,5115.00214564972,5136.21571635018,5157.56007647273,5179.036032382,5200.64439541414,5222.38598190748,5292.94087591453,5307.59070118257,5322.24052645061,5336.89035171865,5351.54017698669,5366.19000225473,5380.83982752277,5395.48965279081,5280.15674700281,5277.62358742038,5275.08981819453,5272.55543873872,5270.02044846541,5267.48484678605,5264.94863311115,5262.41180685017,5345.56107103638,5345.65957845739,5345.75808587841,5345.85659329943,5345.95510072045,5346.05360814146,5346.15211556248,5346.2506229835,5198.76298006498,5188.63273805239,5178.49178092751,5168.34006494876,5158.17754606293,5148.00417990197,5137.81992177975,5127.62472668886,5246.12335634605,5246.13106541663,5246.13877449855,5246.14648359179,5246.15419269636,5246.16190181226,5246.16961093949,5246.17732007805,5290.10762666215,5288.81755753614,5287.52733049683,5286.23694546699,5284.94640236937,5283.6557011266,5282.36484166129,5281.07382389595,5414.53121649179,5419.03051909583,5423.52982169988,5428.02912430393,5432.52842690798,5437.02772951202,5441.52703211607,5446.02633472012,5361.0780573958,5361.80788722952,5362.53781641854,5363.2678449764,5363.99797291663,5364.72820025275,5365.4585269983,5366.18895316681,5337.81619911139,5329.39750986445,5320.97216430938,5312.54014134729,5304.10141976199,5295.65597821905,5287.20379526484,NA,NA,NA,NA,NA,NA
"9",5453.47388277783,5442.37284221579,5431.29439882836,5420.23850661694,5409.20511967657,5398.19419219573,5387.20567845615,5376.23953283263,5263.69151856889,5250.34405240185,5237.03043222529,5223.75057221387,5210.50438675986,5197.2917904726,5184.11269817799,5170.96702491789,5377.48435097044,5386.23274815105,5394.97403656834,5403.70823925589,5412.43537911697,5421.15547892565,5429.86856132781,5438.57464884215,5437.78018875169,5442.53259523659,5447.28292650216,5452.03118616732,5456.77737783992,5461.52150511689,5466.26357158417,5471.00358081685,5447.32783561886,5445.90564648558,5444.48345735231,5443.06126821903,5441.63907908576,5440.21688995249,5438.79470081921,5437.37251168594,5511.25113025903,5512.64163633832,5514.03150844797,5515.42074732539,5516.80935370662,5518.19732832629,5519.5846719177,5520.97138521275,5271.45398092227,5253.14909353931,5234.84420615634,5216.53931877338,5198.23443139042,5179.92954400746,5161.62465662449,5143.31976924153,5559.5919679383,5572.64601494293,5585.67495624814,5598.67894646034,5611.65813858459,5624.61268404789,5637.54273272198,5650.44843294574,5415.20357667052,5406.6278741011,5398.06575230911,5389.51718978758,5380.98216506357,5372.46065669816,5363.95264328639,5355.45810345718,5480.5667991264,5483.92765417675,5487.28747965649,5490.64627682604,5494.00404694314,5497.36079126284,5500.71651103748,5504.07120751675,5502.99010108685,5504.67667101614,5506.36298260481,5508.04903601109,5509.734831393,5511.42036890843,5513.10564871507,5514.79067097047,5627.66545478222,5640.34378318422,5653.02211158623,5665.70043998824,5678.37876839025,5691.05709679225,NA,NA,NA,NA,NA,NA,NA
"10",5938.95981813255,5938.57841286131,5938.19703208426,5937.81567579983,5937.43434400643,5937.0530367025,5936.67175388646,5936.29049555675,6024.32569230522,6026.05888124854,6027.79256882757,6029.52675518576,6031.26144046662,6032.99662481368,6034.73230837053,6036.46849128078,5951.3038054343,5950.59723464998,5949.89085824093,5949.18467615367,5948.47868833475,5947.77289473072,5947.06729528815,5946.36188995362,5994.21071884006,5995.5680693783,5996.92572727986,5998.28369261434,5999.64196545136,6001.00054586053,6002.35943391152,6003.71862967398,6082.17353569199,6090.00148360055,6097.84449596177,6105.70260176636,6113.5758300608,6121.4642099475,6129.36777058486,6137.28654118739,5944.47478749435,5935.86941505501,5927.26404261567,5918.65867017633,5910.053297737,5901.44792529766,5892.84255285832,5884.23718041899,5999.18916320165,6004.90569502568,6010.62767404187,6016.35510544074,6022.08799441779,6027.82634617346,6033.57016591314,6039.31945884719,5940.71176828062,5931.17185651327,5921.65529365447,5912.16202255782,5902.69198621681,5893.24512776442,5883.82139047285,5874.4207177531,5857.10291701179,5848.66317254755,5840.23558926396,5831.82014963745,5823.41683616973,5815.0256313877,5806.64651784347,5798.27947811425,6019.71428135555,6020.35655212543,6020.99889142212,6021.64129925291,6022.28377562512,6022.92632054607,6023.56893402307,6024.21161606343,6075.21921662627,6081.17528705868,6087.13135749109,6093.0874279235,6099.04349835591,6104.99956878832,6110.95563922073,6116.91170965314,6156.22285261644,6158.06439559465,6159.90593857286,6161.74748155106,6163.58902452927,6165.43056750748,NA,NA,NA,NA,NA,NA,NA
