"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3171.88143804366,3172.35137801792,3172.82110988012,3173.29063384527,3173.75995012803,3174.22905894273,3174.69796050332,3175.16665502344,5172.86850852265,5261.12278115089,5350.88275929326,5442.17413178077,5535.02302572139,5629.45601397748,5725.50012277084,5823.18283941742,5770.45743895103,5825.71870462892,5880.9799703068,5936.24123598469,5991.50250166257,6046.76376734046,6102.02503301834,6157.28629869622,5544.95321977682,5538.63694382111,5532.30423766441,5525.95499665079,5519.58911506032,5513.20648609419,5506.80700185952,5500.39055335401,5834.65444781088,5860.25739515827,5885.86034250565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2075.77303576275,2120.39224099138,2166.49093731797,2214.11818195676,2263.32465876929,2314.16273220113,2366.68650300689,2420.9518658231,2542.33699926178,2584.34642099259,2626.3558427234,2668.36526445421,2710.37468618502,2752.38410791583,2794.39352964664,2836.40295137745,2669.7084149937,2684.94416257004,2700.13678784365,2715.2867748199,2730.39459807682,2745.46072302527,2760.48560615983,2775.46969530082,3349.8455572479,3405.96149047299,3463.4714140664,3522.40995650235,3582.8126064699,3644.71573424183,3708.1566135742,3773.17344415008,4316.22270418621,4406.7517793127,4500.07042261165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1813.59879856807,1834.05280250288,1854.5068064377,1874.96081037252,1895.41481430734,1915.86881824216,1936.32282217698,1956.77682611179,2710.68556200572,2743.66306052413,2776.64055904255,2809.61805756096,2842.59555607937,2875.57305459778,2908.5505531162,2941.52805163461,3387.85454561984,3447.98069043406,3509.72796345439,3573.14007373066,3638.26190880128,3705.13956646775,3773.82038742592,3844.35298877709,4304.49760653026,4373.49132799622,4442.48504946219,4511.47877092815,4580.47249239411,4649.46621386007,4718.45993532604,4787.453656792,6027.46328145543,6161.75027699401,6296.03727253261,6430.32426807119,6564.61126360978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2463.78056366907,2484.18706629967,2504.92526000211,2526.00053614446,2547.41837372712,2569.18434080717,2591.3040959459,2613.78338967992,4249.7761334182,4321.53710517198,4396.67179556811,4475.33881418503,4557.70422735766,4643.94190874398,4734.2339063729,4828.77082694826,4644.86701887487,4685.11742545114,4725.36783202741,4765.61823860368,4805.86864517996,4846.11905175623,4886.3694583325,4926.61986490877,4926.64027325549,4948.65739457482,4970.67451589415,4992.69163721347,5014.7087585328,5036.72587985213,5058.74300117145,5080.76012249078,3975.7569554518,3913.9479867655,3850.69311624504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1112.60438899118,1130.11894245362,1147.63349591606,1165.1480493785,1182.66260284094,1200.17715630338,1217.69170976582,1235.20626322826,1238.87913802754,1239.69054872987,1240.51566795008,1241.35472728909,1242.20796226064,1243.07561235738,1243.95792111815,1244.85513619626,2099.90850184944,2160.09525829731,2220.28201474517,2280.46877119304,2340.65552764091,2400.84228408878,2461.02904053665,2521.21579698452,3375.44109496795,3505.03635911375,3641.73600736152,3785.92950049752,3938.02764946331,4098.46378576665,4267.69499605396,4446.20342436191,6299.01649557145,6662.94114037247,7057.09412629459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",8415.7813046275,8455.50559015764,8495.13658480814,8534.67515790629,8574.12216470342,8613.47844669815,8652.74483195018,8691.92213538481,7896.13685997197,7880.66585452456,7865.19484907714,7849.72384362973,7834.25283818231,7818.78183273489,7803.31082728748,7787.83982184007,7627.54157204257,7616.9706014833,7606.39963092402,7595.82866036475,7585.25768980548,7574.68671924621,7564.11574868694,7553.54477812767,8301.24332506845,8347.9612413493,8394.54870831579,8441.00717039417,8487.33804425336,8533.54271956062,8579.62255971088,8625.57890253052,8196.17864619158,8186.81650848572,8177.45437077986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",6480.64070703496,6605.71976036872,6730.79881370249,6855.87786703625,6980.95692037001,7106.03597370377,7231.11502703754,7356.1940803713,7916.27990303038,8068.72262097479,8225.53504818046,8386.84244060772,8552.77364462864,8723.4611999448,8899.04144545508,9079.65462815808,8867.67513531264,8948.99016048397,9031.05083016953,9113.86398179868,9197.43651549885,9281.77539467037,9366.88764656678,9452.78036288026,9346.49672836936,9352.78963178567,9359.08041667202,9365.36908587688,9371.65564224207,9377.9400886027,9384.22242778726,9390.50266261758,9044.65550975635,9116.20819728565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4975.88210106529,5029.09277212465,5082.30344318401,5135.51411424336,5188.72478530272,5241.93545636208,5295.14612742143,5348.35679848079,7102.16274449499,7273.81486344128,7445.46698238756,7617.11910133385,7788.77122028014,7960.42333922642,8132.0754581727,8303.72757711899,4881.19010598432,4695.56863209196,4517.00595550555,4345.23364489351,4179.99347680767,4021.0370474987,3868.12539949355,3721.02866237319,3344.59694112922,3289.97802457331,3235.3591080174,3180.7401914615,3126.12127490559,3071.50235834968,3016.88344179378,2962.26452523787,2837.85737390232,2789.32992755674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2780.35201562815,2759.87095763081,2739.62614021726,2719.61483844948,2699.83435882051,2680.28203889186,2660.9552469352,2641.85138157809,2460.1749371727,2428.29585011162,2396.82985407773,2365.77159621394,2335.11579302581,2304.85722948272,2274.9907581307,2245.51129821679,4917.32470826606,5053.42986277804,5202.89862880346,5367.04312500032,5547.30430162056,5745.26458996033,5962.66179380818,6201.40434483814,5899.65160030409,5979.35445299615,6059.05730568821,6138.76015838027,6218.46301107233,6298.16586376439,6377.86871645645,6457.57156914851,5906.36917248471,5902.96180526227,5899.55640374008,5896.15296678415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",3390.82116013941,3475.96884811043,3564.27150031593,3655.84601716221,3750.81363054844,3849.30006436077,3951.4357009132,4057.35575355569,4533.33444080735,4605.7643294718,4681.03251663789,4759.25022625659,4840.53304079407,4925.00107202822,5012.779138538,5103.99695014812,5011.37911220492,5040.18636862066,5069.60023722138,5099.63349181439,5130.29917519298,5161.61060480056,5193.58137851419,5226.2253805498,6771.20195317412,6835.34737256517,6899.49279195622,6963.63821134727,7027.78363073832,7091.92905012937,7156.07446952042,7220.21988891147,7575.66364303253,7626.45879505216,7677.87619857252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4033.12541593983,4054.22355117383,4075.43205523212,4096.75150547743,4118.18248229284,4139.72556909751,4161.38135236259,4183.15042162718,4363.87966969946,4384.43511277348,4405.15947945517,4426.05415795032,4447.12054787294,4468.36006033899,4489.77411806091,4511.36415544293,4853.55244327924,4894.21205846042,4935.38498723368,4977.07771000576,5019.29678899629,5062.04886927063,5105.34067978584,5149.17903444969,5261.98200146614,5295.45997397149,5328.93794647684,5362.41591898219,5395.89389148754,5429.37186399289,5462.84983649824,5496.32780900359,6230.72962910245,6316.65713869736,6402.58464829227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4345.03606457968,4427.28058966656,4511.80888941682,4598.68437992663,4687.97223823704,4779.73945123204,4874.05486589451,4970.98924095762,5277.7369607044,5363.20766252055,5448.67836433671,5534.14906615287,5619.61976796902,5705.09046978518,5790.56117160134,5876.0318734175,6408.05528600204,6489.69560397684,6572.37604117996,6656.10984900525,6740.91044767284,6826.79142838003,6913.76655547952,7001.84976868555,7271.08324932984,7322.2277310242,7374.02242857602,7426.47560838369,7479.59564193893,7533.39100716285,7587.87028975904,7643.04218458384,7803.078782209,7840.05011364635,7877.02144508369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",3933.65286894906,3933.65338718124,3933.65390541342,3933.6544236456,3933.65494187778,3933.65546010996,3933.65597834214,3933.65649657432,4480.76875165236,4535.2525891562,4589.73642666005,4644.22026416389,4698.70410166774,4753.18793917158,4807.67177667543,4862.15561417927,4977.5200586468,5011.73783940894,5046.19084906147,5080.88070467685,5115.80903444404,5150.97747774494,5186.3876852313,5222.04131890223,4843.49382393288,4820.77545809954,4798.00314052006,4775.17635642832,4752.29458240447,4729.35728616563,4706.36392634998,4683.31395229395,5846.21479668153,5932.73596784364,6020.53761078442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2050.02617256244,2066.31072607926,2082.59527959609,2098.87983311292,2115.16438662975,2131.44894014657,2147.7334936634,2164.01804718023,2139.10405383684,2142.14546409991,2145.18687436299,2148.22828462606,2151.26969488913,2154.31110515221,2157.35251541528,2160.39392567836,2431.13321124544,2449.40887756944,2468.06484115659,2487.10901559023,2506.54947912696,2526.39447812338,2546.65243053401,2567.33192948211,3202.15347779547,3275.4143256911,3351.10098713265,3429.29378566985,3510.07570452621,3593.5324746661,3679.75266577804,3768.82778027046,3763.38251200588,3801.89242119085,3840.40233037583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1964.21635579826,1976.90359665555,1989.71188815955,2002.64238527054,2015.6962539684,2028.87467135781,2042.17882577434,2055.60991689162,2118.00097191272,2127.41555978072,2136.79307865765,2146.13398008932,2155.43870645974,2164.70769125008,2173.94135928833,2183.14012698992,2735.38271965575,2789.80980654607,2845.84451132177,2903.53431834062,2962.92811451022,3024.07623071528,3087.03048446849,3151.84422382119,3049.08901304397,3079.94922568427,3111.28228689824,3143.09544180034,3175.39604651669,3208.19156988595,3241.48959518637,3275.29782188923,3981.2235234375,4070.22152567955,4162.2812710263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",4242.72442671998,4129.41258142645,4014.52359399608,3897.96582234009,3779.63787844076,3659.42707651504,3537.20754372095,3412.83789828202,3776.33809798714,3791.00336480351,3805.75662458712,3820.59840530397,3835.52923808791,3850.54965725964,3865.66020034583,3880.86140809837,4271.85992556675,4240.88680377329,4209.91368197983,4178.94056018637,4147.96743839291,4116.99431659944,4086.02119480598,4055.04807301252,4910.28952214239,4977.27171507996,5044.25390801753,5111.2361009551,5178.21829389267,5245.20048683024,5312.18267976781,5379.16487270538,5128.71672953332,5169.80571131298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
