"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3073.50918415254,3076.98811917943,3080.46705420633,3083.94598923323,3087.42492426012,3090.90385928702,3094.38279431392,3097.86172934082,3101.34066436771,3104.81959939461,3108.2985344215,3111.7774694484,3115.2564044753,3118.7353395022,3122.21427452909,3125.69320955599,3129.17214458289,3132.65107960978,4915.07625675894,4914.56577253183,4914.05534132406,4913.54496313014,4913.03463794456,4912.52436576181,4912.01414657639,4911.50398038278,4910.9938671755,4910.48380694903,4909.97379969788,4909.46384541653,4908.95394409949,4908.44409574126,4907.93430033634,4907.42455787923,4906.91486836442,4906.40523178643,2594.19345045585,2386.7870782723,3829.38070608876,2674.47433390521,2594.56796172166,2387.16158953812,3829.75521735457,2674.84884517102,2594.94247298748,2387.53610080393,3830.12972862038,2675.22335643683,2595.31698425329,2387.91061206974,3830.50423988619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2258.97353919575,2317.0523592068,2375.13117921785,2433.2099992289,2491.28881923995,2549.367639251,2607.44645926205,2665.5252792731,2723.60409928415,2781.68291929521,2839.76173930626,2897.84055931731,2955.91937932836,3013.99819933941,3072.07701935046,3130.15583936151,3188.23465937256,3246.31347938361,2625.87757909915,2708.17477901792,2790.47197893669,2872.76917885546,2955.06637877423,3037.363578693,3119.66077861177,3201.95797853054,3284.25517844931,3366.55237836808,3448.84957828685,3531.14677820562,3613.44397812439,3695.74117804316,3778.03837796193,3860.3355778807,3942.63277779947,4024.92997771825,1494.64505639339,1552.43946785672,1613.55073068566,1678.16920070709,1746.49615836785,1818.74443570448,1895.13907929487,1975.91805125721,2061.33297047956,2151.64989638895,2247.15015770148,2348.13122873473,2454.90765601226,2567.81203804639,2687.19606135124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4168.44981372037,4375.85948320156,4597.75889331452,4835.16030440418,5089.14669381674,5360.87669622376,5651.58988907987,5962.61244732503,6295.36319312708,6651.36006826222,7032.22705865924,7439.70160269567,7875.64251704115,8342.03847620416,8841.01708446389,9374.85458157178,9945.98622649809,10557.017406592,4090.23232217401,4109.94687351313,4129.75644721378,4149.6615012752,4169.66249590411,4189.75989352543,4209.95415879287,4230.24575859978,4250.63516208986,4271.12284066806,4291.70926801145,4312.39492008018,4333.18027512849,4354.06581371575,4375.05201871761,4396.13937533712,4417.32837111595,4438.6194959457,5395.16408678757,5423.43884140155,5451.71359601553,5479.98835062952,5508.2631052435,5536.53785985748,5564.81261447146,5593.08736908545,5621.36212369943,5649.63687831341,5677.91163292739,5706.18638754138,5734.46114215536,5762.73589676934,5791.01065138333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2445.40867387238,2542.71877943803,2640.02888500369,2737.33899056934,2834.649096135,2931.95920170065,3029.2693072663,3126.57941283196,3223.88951839761,3321.19962396326,3418.50972952892,3515.81983509457,3613.12994066022,3710.44004622588,3807.75015179153,3905.06025735719,4002.37036292284,4099.68046848849,2667.1848431434,2745.13058444867,2827.15539737721,2913.47274869488,3004.30727635163,3099.89537409411,3200.48580667228,3306.34035724113,3417.73450864244,3534.95816033935,3658.31638286985,3788.13021178239,3924.73748311986,4068.49371262637,4219.77302096477,4378.96910735286,4546.49627415212,4722.79050507543,4143.02100507727,4143.43625392358,4143.83923432175,4144.23065154747,4144.61115172589,4144.98132826822,4145.3417274558,4145.6928533037,4146.03517181263,4146.36911469915,4146.69508267922,4147.01344836784,4147.32455884722,4147.62873794818,4147.92628828221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6087.68989328239,6299.7265400477,6511.763186813,6723.79983357831,6935.83648034362,7147.87312710892,7359.90977387423,7571.94642063953,7783.98306740484,7996.01971417015,8208.05636093545,8420.09300770076,8632.12965446606,8844.16630123137,9056.20294799667,9268.23959476198,9480.27624152729,9692.31288829259,4773.75548485505,4715.9354429331,4658.11540101115,4600.2953590892,4542.47531716724,4484.65527524529,4426.83523332334,4369.01519140139,4311.19514947944,4253.37510755748,4195.55506563553,4137.73502371358,4079.91498179163,4022.09493986968,3964.27489794773,3906.45485602577,3848.63481410382,3790.81477218187,7469.75607905239,7471.93980275609,7474.12352645978,7476.30725016348,7478.49097386717,7480.67469757087,7482.85842127456,7485.04214497826,7487.22586868195,7489.40959238565,7491.59331608934,7493.77703979304,7495.96076349673,7498.14448720043,7500.32821090412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2121.24663346225,2148.11155198279,2174.97647050332,2201.84138902386,2228.7063075444,2255.57122606494,2282.43614458548,2309.30106310601,2336.16598162655,2363.03090014709,2389.89581866763,2416.76073718816,2443.6256557087,2470.49057422924,2497.35549274978,2524.22041127031,2551.08532979085,2577.95024831139,2482.30920214002,2563.80908494645,2649.80579809064,2740.54745828626,2836.29587231286,2937.32729237776,3043.93321315566,3156.42121280572,3275.11584039241,3400.35955227078,3532.51370013745,3671.95957359835,3819.09950026107,3974.35800652571,4138.18304242358,4311.04727403733,4493.44944723169,4685.91582662915,2458.96631453635,2443.47853568308,2428.17765373074,2413.06141332356,2398.12758632198,2383.37397147427,2368.79839409201,2354.39870572961,2340.17278386754,2326.11853159955,2312.23387732355,2298.51677443625,2284.9652010315,2271.57715960226,2258.35067674617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2693.03059273671,2711.02802674056,2729.02546074441,2747.02289474827,2765.02032875212,2783.01776275597,2801.01519675982,2819.01263076367,2837.01006476752,2855.00749877137,2873.00493277523,2891.00236677908,2908.99980078293,2926.99723478678,2944.99466879063,2962.99210279448,2980.98953679834,2998.98697080219,3380.29779002907,3402.15293972231,3424.14939281477,3446.28806289666,3468.56986946495,3490.99573796158,3513.56659981188,3536.28339246327,3559.14705942421,3582.15855030333,3605.31882084894,3628.62883298869,3652.08955486949,3675.70196089781,3699.46703178007,3723.38575456339,3747.45912267661,3771.68813597152,4075.30110139901,4147.14643319826,4221.43331382167,4298.24471540552,4377.66642976156,4459.78716419925,4544.69864060422,4632.49569788385,4723.2763978943,4817.14213496721,4914.19774915866,5014.55164334648,5118.31590430717,5225.60642790724,5336.54304854909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2246.39065960939,2181.14136059698,2117.7873111946,2056.27346144558,1996.54636038984,1938.55410961906,1882.24631818074,1827.57405879228,1774.48982532676,1722.94749153369,1672.90227095869,1624.31067802743,1577.13049025987,1531.32071158208,1486.84153670371,1443.65431653011,1401.72152457922,1361.00672437376,2311.33197389012,2273.70311390138,2237.39362296601,2202.35724045586,2168.54932776489,2135.92681143662,2104.44812828584,2074.07317244443,2044.76324426387,2016.48100100944,1989.19040928314,1962.85669911484,1937.44631966309,1912.9268964692,1889.26719021007,1866.43705689733,1844.40740947192,1823.1501807453,3363.88491371837,3410.26373458133,3456.64255544428,3503.02137630723,3549.40019717019,3595.77901803314,3642.15783889609,3688.53665975904,3734.915480622,3781.29430148495,3827.6731223479,3874.05194321086,3920.43076407381,3966.80958493676,4013.18840579971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2921.54802239028,2917.48790793247,2913.42779347466,2909.36767901686,2905.30756455905,2901.24745010124,2897.18733564343,2893.12722118563,2889.06710672782,2885.00699227001,2880.94687781221,2876.8867633544,2872.82664889659,2868.76653443878,2864.70641998098,2860.64630552317,2856.58619106536,2852.52607660756,2877.16492477687,2857.68680501214,2838.20868524741,2818.73056548267,2799.25244571794,2779.77432595321,2760.29620618847,2740.81808642374,2721.33996665901,2701.86184689427,2682.38372712954,2662.9056073648,2643.42748760007,2623.94936783533,2604.4712480706,2584.99312830587,2565.51500854113,2546.0368887764,3665.6064805902,3665.74702115341,3665.88551383282,3666.02201752776,3666.15658863147,3666.28928117135,3666.42014693952,3666.5492356144,3666.67659487429,3666.80227050331,3666.92630649043,3667.04874512214,3667.16962706922,3667.28899146801,3667.40687599667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
