"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3201.71580882462,3205.1751002746,3208.64082257265,3212.11298767376,3215.59160755515,3219.0766942163,3222.568259679,3226.0663159874,5403.75253063589,5506.67799183618,5611.56387785296,5718.44752896547,5827.36699667453,5938.36105724922,6051.46922553154,6166.73176900405,5785.94112463352,5828.68150841933,5871.42189220514,5914.16227599096,5956.90265977677,5999.64304356258,6042.38342734839,6085.1238111342,5543.67581506639,5529.8501053513,5516.02439563621,5502.19868592113,5488.37297620604,5474.54726649095,5460.72155677586,5446.89584706077,5678.88594177349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2214.17804959448,2267.20540811584,2322.14580720186,2379.06826262674,2438.04428001104,2499.14794464657,2562.45601456189,2628.04801694519,2616.8307224206,2655.45483412026,2694.07894581993,2732.70305751959,2771.32716921926,2809.95128091892,2848.57539261858,2887.19950431825,2820.84464668157,2841.36802601614,2862.11693876477,2883.09386333612,2904.30130537431,2925.74179805823,2947.41790240412,2969.33220757148,3644.84243978332,3710.53728316968,3778.01812202078,3847.3335108294,3918.53332410221,3991.66879224593,4066.79253842919,4143.95861644644,4369.1619887465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1855.78198937393,1874.76856377643,1893.75513817894,1912.74171258145,1931.72828698395,1950.71486138646,1969.70143578897,1988.68801019147,2854.14414730122,2909.66220983515,2968.31517066414,3030.28004582353,3095.74384678515,3164.90414486242,3237.96966748521,3315.1609281443,3533.87257308294,3597.83412399975,3663.53073298971,3731.00946624296,3800.31866669437,3871.50798865727,3944.62843339664,4019.73238566731,4982.25500260093,5105.53897945945,5233.54534205498,5366.45498110518,5504.45571633635,5647.7425618988,5796.51800194876,5950.9922767866,5947.09379826193,6040.63357992248,6134.17336158304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2617.68082768177,2651.00213739802,2684.97298603099,2719.60603517194,2754.91419322707,2790.91062022869,2827.60873274026,2865.02220885695,4533.46554312883,4684.21564766761,4844.64224508666,5015.3664594293,5197.04928404709,5390.39414076933,5596.14960334312,5815.11229568809,4799.20772478031,4830.82266858211,4862.4376123839,4894.05255618569,4925.66749998749,4957.28244378929,4988.89738759108,5020.51233139287,5027.72369723471,5052.40280305189,5077.08190886908,5101.76101468626,5126.44012050344,5151.11922632062,5175.79833213781,5200.47743795499,3743.18853675488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1065.57666846402,1077.92907885711,1090.28148925019,1102.63389964328,1114.98631003636,1127.33872042944,1139.69113082253,1152.04354121561,1721.6147646453,1745.9336557054,1771.18408665211,1797.40174030329,1824.62366631413,1852.88833353414,1882.23568436961,1912.70719122857,2657.85509654688,2762.90464774129,2874.31735174303,2992.47864297985,3117.79730274898,3250.706873404,3391.66715820315,3541.16581200763,3800.77355232027,3937.2908143396,4081.01229992317,4232.31818690635,4391.60871568713,4559.30524795808,4735.8513813092,4921.71412265005,6986.58408745718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7879.66411161717,7884.2444293225,7888.821387071,7893.39499173367,7897.96525015844,7902.53216917032,7907.09575557151,7911.65601614147,7765.09143509702,7739.72547980941,7714.3595245218,7688.99356923419,7663.62761394658,7638.26165865897,7612.89570337136,7587.52974808375,7738.84245155085,7742.83928423065,7746.8408284116,7750.84708964766,7754.85807349933,7758.87378553369,7762.89423132435,7766.9194164515,8436.51477426648,8487.52857298265,8538.85084121841,8590.4834442229,8642.42825852405,8694.68717199671,8747.26208393134,8800.15490510298,8215.44742723107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",6592.65758955572,6710.66161738218,6828.66564520864,6946.6696730351,7064.67370086156,7182.67772868802,7300.68175651447,7418.68578434094,8204.69958907686,8366.9473051667,8533.95878924388,8705.87391067596,8882.83664554602,9064.9951972303,9252.502120516,9445.51444936353,9006.6318338559,9096.30192980114,9186.86478191264,9278.32927847766,9370.70439627534,9463.99920145767,9558.22285043935,9653.3845907964,8225.96889426277,8217.85243046428,8209.74397508225,8201.64352021486,8193.55105796809,8185.46658045574,8177.39007979934,8169.32154812826,9164.28311578024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5154.06129018396,5227.75043231525,5302.96662698707,5379.74151915273,5458.10740954064,5538.09726824393,5619.74474859156,5703.08420130698,6803.28834767414,6939.53670307115,7075.78505846816,7212.03341386517,7348.28176926218,7484.53012465919,7620.77848005619,7757.0268354532,3927.17725046898,3869.71164305879,3813.08691850782,3757.29077234362,3702.31108014266,3648.13589489569,3594.75344441168,3542.15212875976,3334.67992872116,3290.68841078694,3247.59025765775,3205.36732718455,3164.00184564292,3123.47640025116,3083.77393184046,3044.87772767379,2965.63092138584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2820.83960939898,2809.23590126723,2797.67992574742,2786.17148648832,2774.71038794643,2763.29643538259,2751.92943485876,2740.60919323465,2579.01521676294,2568.23172454043,2557.51709942563,2546.87090160938,2536.29269409133,2525.78204266192,2515.33851588463,2504.96168507823,5464.98827368091,5668.33669110242,5888.85893179638,6128.00541376718,6387.34905030486,6668.59559534416,6973.59486254248,7304.35289186695,6113.09302273252,6188.29366278542,6263.4943028383,6338.69494289119,6413.89558294408,6489.09622299697,6564.29686304987,6639.49750310275,6124.32605926647,6145.00453175741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
