"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2625.55162835138,2656.68012918665,2687.80863002192,2355.4952614396,2414.93580576215,2476.59879395893,2576.49453341329,2642.38388140177,2710.74103221239,2616.8307224206,2655.45483412026,2694.07894581993,2609.98631609997,2634.06242106511,2658.13852603025,2660.7749862144,2675.43756363728,2690.05994713548,2933.6543951321,2957.8803859608,2982.42018345994,3266.9985532348,3311.37081293682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2919.37272535466,2949.28452798781,2978.46215127902,1891.62565381133,1909.76707560603,1927.90849740074,2747.65844572868,2830.59491148998,2916.03476604172,2854.14414730122,2909.66220983515,2968.31517066414,2933.42567803939,2958.24846576685,2982.52872868842,3382.03793589192,3436.05894882877,3491.40098543435,3667.54909544919,3721.60395557609,3775.65881570299,3904.49967418921,3968.29258577925,4031.57581852266,4613.50854713266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4792.56816578911,4943.49358001964,5105.08793826094,2614.86961640914,2636.23840046518,2657.60718452121,2924.37287132436,2967.93601303895,3012.47656989125,4533.46554312883,4684.21564766761,4844.64224508666,4755.85549486002,4840.3045130686,4924.75353127718,4669.03463557955,4733.45024667383,4797.86585776811,4851.25338768055,4877.72435640675,4904.4115197431,4974.7557677219,4991.52166370421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1806.34175801565,1838.61167003863,1872.69948437044,1037.8312095206,1038.23374511921,1038.63791451635,1086.93826688737,1087.14497699769,1087.35168710801,1721.6147646453,1745.9336557054,1771.18408665211,1952.2306154212,2049.43197697335,2153.58840356278,2104.08356342608,2168.44494809235,2232.80633275862,2785.27293439098,2887.86048102291,2996.22708813129,3156.54075839202,3287.53946447333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7699.10713701446,7676.48915717962,7653.837758651,7887.32977911637,7849.52272242564,7811.62428159047,8023.65450510726,7993.04611561902,7962.55449007001,7765.09143509702,7739.72547980941,7714.3595245218,7534.7050193536,7505.77808838263,7476.85115741166,7607.18228742673,7586.28371256978,7565.38513771283,8354.36764225814,8375.88000197343,8397.52181114127,8199.11005626816,8240.60141437501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7957.1639391935,8052.75013920053,8148.33633920756,6895.59009298416,6991.91909645382,7088.24809992349,7473.68190051079,7584.87367795517,7697.71974193942,8064.49828088039,8187.50768142797,8310.51708197555,8144.21117031448,8234.1202726629,8324.02937501132,8864.02162316202,8941.98102689956,9020.99076581511,9754.77362878177,9886.98251238249,10021.9376262083,9788.72617193537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5764.81552331529,5782.39907565072,5800.05335771562,6781.91837757671,6925.55372904847,7074.03055546661,7057.99224551245,7231.46931367418,7404.9463818359,7204.90470737704,7327.33947706447,7449.77424675189,6332.02520121183,6287.04176147305,6241.89628995655,5069.82414097216,4912.50737503338,4760.07215215355,3519.71610857777,3412.62576202607,3295.40444178504,3626.3494473914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3650.27244653788,3651.31403145072,3652.37305490903,2624.73527726055,2599.02269415034,2573.56199812983,2477.08240774746,2451.67827794533,2426.00084055999,2579.01521676294,2568.23172454043,2557.51709942563,4744.20808348183,4911.10948988417,5083.88249360453,4908.30055439722,5032.99544393639,5168.30438489676,5503.1776161664,5687.23096240875,5885.31627183285,5707.62027424842,5798.9814560789,5890.34263790939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4781.88950391067,4863.09893283742,4947.14723607128,3568.89975236513,3621.38893695251,3673.8781215399,4240.95245684342,4308.39976228314,4375.15058833208,4410.88065298239,4483.43199024909,4557.17667119324,4832.24204183927,4914.22153852347,4998.95019581745,5074.19165602087,5138.20090841658,5202.2101608123,6799.97814302384,6914.62646429301,7029.27478556217,6827.75325708466,6909.30810481346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
