"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5891.07294203022,6255.14588406044,6619.21882609067,6942.27003141785,8132.35299450216,9618.79563503144,5471.34790756937,5462.33239405737,5453.30943424347,3884.34494689335,3514.24475394614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",5406.465234248,5783.53046849599,6160.59570274399,6602.12709027349,7943.29472820698,9668.41931477876,4811.56829797973,4776.86337440679,4742.15845083385,2889.25988813436,2460.33600936387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4025.45179839578,4375.72359679156,4725.99539518734,5150.0432566638,6293.29229250912,7795.60662058792,4048.35343236818,4099.16483453319,4150.61397711121,3675.1757165122,3675.17485981465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5485.0402910547,5352.44703843919,5213.94145984924,7635.27861594148,8023.27422701971,8439.40022106517,5086.24864284762,4807.35808361758,4543.75972685134,4547.67989024299,4473.3397186331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3357.52309101065,3439.95083236532,3521.40251231653,3224.84994972291,3342.33989944582,3459.82984916874,3665.38558491336,3794.67470189603,3923.9638188787,3860.2356597762,3908.58717539063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4126.56722912522,4205.70497434544,4284.84271956567,4132.3728279328,4267.86390255741,4403.35497718202,4736.86823364797,4977.44939610783,5235.07948941231,4710.60956469341,4711.73695867546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1679.37953181491,1816.92316384956,1954.46679588421,1575.53566365595,1877.52384899659,2265.30223505166,2863.54999800924,3559.9327725238,4470.97829999885,5794.43873621979,6569.40344337472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5591.87286826509,5883.29239972327,6174.71193118145,7382.8221773142,9106.16693688855,11374.262384523,5211.20134223445,5211.19443064014,5211.18728801353,3994.39562360759,3852.15467547561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",7930.09438876187,8842.66474461733,9905.12805441768,5433.07303842865,5802.76607685729,6172.45911528593,8605.57810504962,9482.91720722777,10487.0208923453,9773.26813232469,10232.135504061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2775.15839565839,2870.61679131678,2966.07518697517,2942.78319444515,3187.53944205309,3461.35215831333,2796.5115721822,2836.64701295252,2877.63320275296,4164.45828242436,4421.85730464842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2555.64624867617,2756.29249735234,2956.93874602851,1982.56416995124,2176.12833990247,2369.6925098537,3244.5307698498,3478.59583790155,3712.6609059533,4401.85100676589,4811.1559690969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4379.94318471637,4792.15902597641,5261.63022190147,3146.99894271585,3416.57175675915,3719.36268262276,5070.31962393034,5621.07353525424,6257.49271652343,5644.27847983605,5866.8569596721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2794.89808224571,2758.48042113924,2721.82074996874,3615.76427796519,3770.28855593038,3924.81283389557,2383.28055838194,2236.07233344146,2097.95672725034,1451.81308777895,1178.86920281176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3669.94735342877,3820.39470685754,3970.84206028631,3469.77228532422,3685.54457064844,3901.31685597266,3995.49695555139,4146.61402328161,4306.3123054676,4935.91452398215,5174.70290074377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4967.91680973995,5063.43361947991,5158.95042921986,5536.24919973834,5875.29665756074,6244.25760864926,4870.54629674849,4867.4848007614,4864.43298117901,5958.55678180388,6160.02136162761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",4235.38192963901,4434.71910309161,4647.85485079864,3541.95070630495,3686.63196302223,3839.71941289477,4853.41831831919,5060.57027271655,5283.63040020684,6429.18149017913,6796.66298035827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",6047.65080697615,6137.30068560036,6226.95056422456,6903.07932843788,7373.36720334687,7890.26687712612,6420.42281337479,6543.48016313925,6669.92380476869,6461.78492698193,6461.78675338961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",5073.90117159836,5575.14068088053,6146.29730654949,4132.72862627016,4590.5639780347,5120.66851889198,5203.53279624168,5477.39559248336,5751.25838872504,5841.22635502485,6049.62740071593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4558.62400263986,4820.74800527973,5082.87200791959,3460.7418415663,3653.42452558432,3846.10720960233,5125.03727309114,5450.37771775136,5775.71816241159,11085.1348715247,12772.4228395648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",7876.82943954473,8419.05887908947,8961.2883186342,7535.77857639075,8237.70715278149,8939.63572917224,8317.35606118808,8688.05350954293,9083.00825966359,8242.92731308558,8400.80540086271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2382.24074321729,2425.70847467911,2468.7901565266,2343.71652009372,2436.68304018745,2529.64956028117,2571.74023655637,2641.85298817949,2715.44810598656,3207.18586776422,3385.34241248249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4222.28861924667,4347.3719341262,4476.16078339054,4225.9021339506,4499.1242679012,4772.34640185181,4498.13775853819,4594.43103351378,4701.65588087661,4178.54160278777,4136.32230755781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3000.7917888327,3110.52875363815,3220.2657184436,2783.85116391299,2898.33638200316,3012.82160009333,4105.73431224788,4377.72045464004,4649.70659703221,5615.09371117592,5950.21742235184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",3426.30616031253,3584.11232062507,3741.9184809376,3440.13100630844,3782.48456105672,4173.28701239537,3538.72711313441,3646.97311455719,3760.08596904194,4430.07620152672,4595.79240305344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",5361.0536213428,5514.1072426856,5667.16086402839,5389.88602222081,5750.08356214779,6110.28110207476,5215.0146821166,5215.01774348627,5215.0208478767,6887.33093510314,7131.79593212557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1557.45309008413,1835.39609499823,2177.72705363419,946.982697069305,1048.19549811355,1164.81340076219,2204.15840063134,2571.90954005446,3048.81426744628,2278.01214566158,2352.80542629776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",5526.98399331189,6295.19392893791,7214.44816477963,3903.79996267434,4202.09992534867,4500.39988802301,7370.69792960893,8499.02059685865,9878.04453159477,9698.94402063378,10776.0371035974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",3367.9592221958,3639.26909256177,3910.57896292773,2537.23987513201,2685.08419871988,2832.92852230774,6163.50507817138,7162.67287688639,8408.2498759326,7780.6799319703,8562.58931900244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",5101.15413858778,5345.80827717556,5590.46241576334,4448.74189957342,4802.36026004722,5196.19099531157,4625.41371088071,4765.35742176143,4905.30113264215,4932.56982006264,4948.5476204763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
