M3:

theta_25_hT_m3m4	= 15.694840550392668
theta_25_hT_m3m7	= 15.681743383422797
theta_25_hT_m3m12	= 15.50585531417421
theta_25_hT_m3o4	= 4.70077575117268
theta_25_hT_m3o7	= 4.709475106048402
theta_25_hT_m3o12	= 4.709475106048402
theta_25_hT_m3q4	= 10.81319419299367
theta_25_hT_m3q7	= 11.278411999020637
theta_25_hT_m3q12	= 11.278412078098881
theta_25_hT_m3y4	= 19.291980496124438
theta_25_hT_m3y7	= 19.282939453987858
theta_25_hT_m3y12	= 19.281231932025392

-----------------------------------------------
theta_50_hT_m3m4	= 17.341710646166078
theta_50_hT_m3o4	= 4.414207720051771
theta_50_hT_m3q4	= 9.792104844494425
theta_50_hT_m3y4	= 18.108813829010412
theta_50_hT_m3m7	= 17.316468893779955
theta_50_hT_m3o7	= 4.455373889712742
theta_50_hT_m3q7	= 10.807543086491082
theta_50_hT_m3y7	= 18.10672537056465
theta_50_hT_m3m12	= 15.194304989640976
theta_50_hT_m3o12	= 4.383259081752813
theta_50_hT_m3q12	= 10.811606164616412
theta_50_hT_m3y12	= 18.10672537056465

----------------------------------------------
theta_0_hT_m3m4		= 16.48431885815756
theta_0_hT_m3o4		= 4.574581953266231
theta_0_hT_m3q4		= 60.1016210650317
theta_0_hT_m3y4		= 19.13332282941877
theta_0_hT_m3m7		= 16.48606168631317
theta_0_hT_m3o7		= 4.574581953266231
theta_0_hT_m3q7		= 60.1016210650317
theta_0_hT_m3y7		= 19.13332282941877
theta_0_hT_m3m12	= 16.48606168631317
theta_0_hT_m3o12	= 4.574581953266231
theta_0_hT_m3q12	= 60.1016210650317???11.6816294240281???
theta_0_hT_m3y12	= 19.13332282941877

-----------------------------------------------

NN3:
theta_0_hT_nn3_4	= 20.636340545400234
theta_0_hT_nn3_7	= 20.618083555516968
theta_0_hT_nn3_12	= 20.618083555516968
theta_25_hT_nn3_4	= 22.379542923151003
theta_25_hT_nn3_7	= 22.42663316102683
theta_25_hT_nn3_12	= 22.42663316102683
theta_50_hT_nn3_4	= 20.297390744627826
theta_50_hT_nn3_7	= 20.47932288042094
theta_50_hT_nn3_12	= 15.027841677107181

CIF 2015:
CIF Series removed one time series!

theta_0_hT_cif15_4		= 14.982953255527875
theta_0_hT_cif15_7		= 14.977166084870564
theta_0_hT_cif15_12		= 16.585846575327896
theta_25_hT_cif15_4		= 21.224807047787706
theta_25_hT_cif15_7		= 20.645637856294172
theta_25_hT_cif15_12	= 21.05978187482075
theta_50_hT_cif15_4		= 17.17894683687782
theta_50_hT_cif15_7		= 16.24392825736419
theta_50_hT_cif15_12	= 17.23880595706072
