"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3767.56210357065,3767.57359711438,3767.58515086108,3767.59676512609,3767.60844022642,3767.62017648071,3767.63197420929,3767.64383373416,3856.47033833618,3856.57289432385,3856.67502931166,3856.77674675296,3856.87805005877,3856.9789425984,3857.07942770018,3857.1795086521,4828.75873581441,4845.35871392769,4862.05721276522,4878.85481704664,4895.75211496188,4912.74969819179,4929.84816192883,4947.04810489792,4265.16479939897,4268.92617860443,4272.70774729013,4276.50961382461,4280.33188715806,4284.17467682547,4288.03809294979,4291.92224624504,4121.79142451399,4126.33863576979,4130.90601919258,4135.49366426936,4140.10166088413,4144.7300993196,4149.379070259,4154.04866478787,4040.63395648873,4049.89623268156,4059.15850887439,4068.42078506722,4077.68306126005,4086.94533745288,4096.20761364571,4105.46988983854,4377.5619235779,4383.94262384748,4390.32332411706,4396.70402438664
"3",5848.06660677187,5855.07560017257,5862.05565402885,5869.00704037192,5875.93002725708,5882.82487884234,5889.69185546517,5896.53121371719,6159.41107239086,6159.56617800113,6159.72245291834,6159.87990595764,6160.03854600064,6160.19838199587,6160.35942295938,6160.52167797515,7413.32929752907,7422.08099671608,7430.84302759558,7439.6154023645,7448.39813323418,7457.19123243036,7465.99471219322,7474.80858477739,5213.37498037689,5216.70505705384,5220.0372608386,5223.37159308989,5226.70805516726,5230.04664843117,5233.38737424292,5236.73023396469,5379.04643332723,5380.45046193197,5381.85485701361,5383.25961866783,5384.66474699029,5386.07024207672,5387.47610402283,5388.88233292439,6061.26791652919,6071.67638947727,6082.07594842547,6092.46662383169,6102.84844597216,6113.22144494299,6123.58565066172,6133.94109286879,6675.61518249003,6688.10388986743,6700.58093443186,6713.04635960259
"4",3203.77263537023,3203.79853412445,3203.82443287867,3203.8503316329,3203.87623038712,3203.90212914134,3203.92802789557,3203.95392664979,1028.8970631758,1024.49282773996,1020.10519787353,1015.73411096746,1011.37950464879,1007.04131677971,1002.71948545669,998.413949009595,1184.22069371921,1130.91170431554,1077.60271491187,1024.2937255082,970.984736104528,917.675746700857,864.366757297186,811.057767893515,3418.15692409893,3344.71671069168,3271.27649728443,3197.83628387718,3124.39607046993,3050.95585706268,2977.51564365543,2904.07543024818,6410.92973884955,6399.14575616831,6387.44589751545,6375.82956234255,6364.29615438841,6352.84508164846,6341.47575634434,6330.18759489377,4993.76106071146,4993.78847267342,4993.81588478584,4993.84329704874,4993.87070946211,4993.89812202596,4993.92553474028,4993.95294760507,5060.45602100996,5060.61119909334,5060.77126270004,5060.9363656426
"5",6748.65433303685,6748.68456384249,6748.71479464813,6748.74502545376,6748.7752562594,6748.80548706504,6748.83571787067,6748.86594867631,4855.45933043278,4855.57320513341,4855.68707983403,4855.80095453466,4855.91482923528,4856.02870393591,4856.14257863653,4856.25645333716,4090.22835321096,4064.75202992863,4039.19529077932,4013.55711281176,3987.83645008958,3962.03223294642,3936.1433672093,3910.16873338869,6203.48313160216,6153.88573108524,6105.12785626947,6057.19529666406,6010.07408231649,5963.75047974094,5918.21098791568,5873.44233434819,9640.69456224496,9577.12721354985,9513.97900559134,9451.24717470284,9388.92897544044,9327.02168046267,9265.52258041124,9204.42898379238,10086.0311890712,10086.0652214689,10086.0992539814,10086.1332866087,10086.1673193509,10086.2013522079,10086.2353851797,10086.2694182664,8486.16122384123,8486.20660544921,8486.25268804959,8486.2994824703
"6",5124.26492248156,5123.94173840552,5123.61857471249,5123.29543140119,5122.97230847032,5122.64920591861,5122.32612374477,5122.00306194751,5161.74418313873,5162.7417870377,5163.7398404869,5164.73834368891,5165.7372968464,5166.73670016213,5167.73655383896,5168.73685807984,5201.72697066372,5205.86731345012,5210.01276414855,5214.16332906062,5218.31901449569,5222.47982677091,5226.64577221124,5230.81685714942,5248.71889824022,5252.73219502126,5256.74549180229,5260.75878858332,5264.77208536436,5268.78538214539,5272.79867892643,5276.81197570745,5066.10028406097,5067.0021657084,5067.90420791138,5068.80641069849,5069.70877409832,5070.61129813947,5071.51398285051,5072.41682826008,5179.34793952535,5179.3990967701,5179.45025401484,5179.50141125959,5179.55256850433,5179.60372574907,5179.65488299382,5179.70604023856,5294.07000732924,5294.38928964455,5294.70857195986,5295.02785427517
"7",4898.84699449396,4896.90887339485,4894.97151907075,4893.03493121828,4891.09910953422,4889.16405371544,4887.22976345895,4885.29623846187,4423.3961122437,4419.28037292335,4415.15666056392,4411.02493672438,4406.88516266685,4402.73729935346,4398.5813074431,4394.41714728824,4622.69264793754,4622.64433119393,4622.59581764488,4622.54710567848,4622.49819366292,4622.44907994615,4622.3997628556,4622.35024069776,4570.32431407386,4564.04584326936,4557.74720178441,4551.42823145181,4545.08877212523,4538.72866164507,4532.3477358036,4525.94582830939,4408.64573547063,4401.44129138902,4394.24862054065,4387.06770368615,4379.89852161757,4372.74105515837,4365.59528516334,4358.46119251855,4526.51287096482,4520.41621331793,4514.32776712112,4508.24752131456,4502.17546485335,4496.11158670744,4490.05587586164,4484.00832131559,4450.90750528059,4445.29400638164,4439.6875872456,4434.08823894346
"8",5330.90492412284,5330.91316327056,5330.92137463748,5330.92955841034,5330.93771477403,5330.94584391157,5330.95394600415,5330.96202123119,5203.80850045108,5203.88845536742,5203.96821954415,5204.04779389206,5204.12717931542,5204.20637671206,5204.2853869734,5204.36421098455,5326.12538003758,5326.69518732542,5327.26499461325,5327.83480190109,5328.40460918893,5328.97441647676,5329.5442237646,5330.11403105244,5420.01380926928,5420.02319196345,5420.03257467386,5420.04195740052,5420.05134014341,5420.06072290255,5420.07010567794,5420.07948846956,5352.24764431771,5352.25617073883,5352.26469945663,5352.27323047175,5352.28176378481,5352.29029939641,5352.29883730718,5352.30737751774,5400.73090399782,5400.7853037735,5400.83968521853,5400.89404834544,5400.94839316675,5401.00271969496,5401.05702794258,5401.11131792208,5285.1293952985,5285.13666248947,5285.14392968043,5285.15119687139
"9",5483.76652465523,5483.7709603967,5483.77539613818,5483.77983187966,5483.78426762114,5483.78870336261,5483.79313910409,5483.79757484557,5467.49169617457,5467.49446552153,5467.4972348685,5467.50000421547,5467.50277356243,5467.5055429094,5467.50831225636,5467.51108160333,5492.13680744998,5492.13840981674,5492.14001319095,5492.14161757324,5492.14322296424,5492.14482936459,5492.14643677493,5492.14804519587,5437.93332449357,5437.93394650828,5437.93456852299,5437.9351905377,5437.93581255241,5437.93643456712,5437.93705658184,5437.93767859655,5490.03483914965,5490.03883535182,5490.04283155399,5490.04682775616,5490.05082395833,5490.05482016049,5490.05881636266,5490.06281256483,5408.56778680115,5408.41236744405,5408.25694808696,5408.10152872987,5407.94610937277,5407.79069001568,5407.63527065859,5407.47985130149,5669.70285583683,5669.74493474573,5669.78702530663,5669.82912752276
"10",5936.45335579008,5937.4488683252,5938.44454780263,5939.44039425036,5940.4364076964,5941.43258816874,5942.42893569539,5943.42545030437,6036.69441182202,6037.03639021127,6037.37838797357,6037.72040511003,6038.06244162173,6038.40449750979,6038.74657277529,6039.08866741934,5929.97396795054,5930.01040976115,5930.04685197264,5930.083294585,5930.11973759825,5930.15618101239,5930.19262482742,5930.22906904335,5996.26174319653,5995.52133505702,5994.78073343266,5994.03993819839,5993.298949229,5992.55776639916,5991.81638958342,5991.07481865617,6024.06764625401,6023.57058673556,6023.07356823063,6022.57659073582,6022.07965424775,6021.58275876304,6021.0859042783,6020.58909079016,6157.68386646016,6158.12071973442,6158.55764608924,6158.99464553684,6159.43171808946,6159.86886375932,6160.30608255866,6160.7433744997,6114.40280565313,6117.15951371676,6119.91809036106,6122.67853685262
