n_units = 64, dropout = 0.5
activity_regularizer=regularizers.l2(0.03) in first lstm decoder
+ log normalized

Mean over all sMapes = 14.180021738553027
sMape_1 = 1.6534927970897915
sMape_2 = 1.338432201776893
sMape_3 = 3.984110873524033
sMape_4 = 3.4579519241081456
sMape_5 = 10.973064302733158
sMape_6 = 11.485996806599873
sMape_7 = 4.484015828582116
sMape_8 = 3.1354479761905085
sMape_9 = 3.431528227763113
sMape_10 = 7.1103412394395615
sMape_11 = 0.8407184355574846
sMape_12 = 2.7985085423105938
sMape_13 = 8.156240802953759
sMape_14 = 6.6297182174373654
sMape_15 = 13.33299592800429
sMape_16 = 6.967552801053621
sMape_17 = 13.403890511094419
sMape_18 = 16.661918767221156
sMape_19 = 7.557827837922934
sMape_20 = 7.211686813601752
sMape_21 = 19.538106192156313
sMape_22 = 14.16802820941679
sMape_23 = 9.372311923894678
sMape_24 = 8.637115012734826
sMape_25 = 7.162341412073279
sMape_26 = 4.98706956225094
sMape_27 = 8.26162905300003
sMape_28 = 10.346621000585381
sMape_29 = 15.064172513055807
sMape_30 = 14.358796233835658
sMape_31 = 7.541879320393615
sMape_32 = 3.65040548106714
sMape_33 = 8.228228019609912
sMape_34 = 11.167041688581026
sMape_35 = 4.950267955352683
sMape_36 = 8.319575804803247
sMape_37 = 12.492265179107843
sMape_38 = 7.0367411006509
sMape_39 = 21.021556262318885
sMape_40 = 9.330251376528569
sMape_41 = 13.284528207878877
sMape_42 = 22.10198093826313
sMape_43 = 9.868927934944217
sMape_44 = 9.201309068218972
sMape_45 = 19.594596273487078
sMape_46 = 16.942321773439406
sMape_47 = 6.271178836708323
sMape_48 = 11.38721070155765
sMape_49 = 3.5336369055158365
sMape_50 = 1.2597678186378516
sMape_51 = 10.245981196201475
sMape_52 = 23.830253202983986
sMape_53 = 1.2792807451653616
sMape_54 = 6.88531885861651
sMape_55 = 14.028401642242397
sMape_56 = 27.808400119552868
sMape_57 = 50.22028817687592
sMape_58 = 90.61042395503942
sMape_59 = 16.81255306627141
sMape_60 = 25.81427875224515
sMape_61 = 39.16615133562679
sMape_62 = 43.117304023412515
sMape_63 = 71.34579707998773
sMape_64 = 16.783336465805544
sMape_65 = 21.297180358014746
sMape_66 = 12.95313175127627
sMape_67 = 29.93008577853941
sMape_68 = 9.853024874428733
sMape_69 = 7.30866573186591
sMape_70 = 4.709348781156733
sMape_71 = 26.15948254729395
sMape_72 = 17.10757413818161
