"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3339.04019842128,3340.65655427466,3342.27291012804,3343.88926598142,3345.5056218348,3347.12197768818,3348.73833354156,3350.35468939494,3351.97104524832,3353.5874011017,3355.20375695508,3356.82011280846,3358.43646866184,3360.05282451522,3361.6691803686,3363.28553622198,3364.90189207536,3366.51824792874,4036.63418875708,3971.67631248831,3906.71843621955,3841.76055995078,3776.80268368202,3711.84480741325,3646.88693114449,3581.92905487572,3516.97117860696,3452.01330233819,3387.05542606943,3322.09754980066,3257.1396735319,3192.18179726313,3127.22392099437,3062.2660447256,2997.30816845684,2932.35029218807,2361.90586344863,2335.41836126222,2309.55818780624,2284.31048545714,2259.66074847863,2235.59481468757,2212.0988573173,2189.15937707361,2166.76319437895,2144.89744180026,2123.54955665611,2102.70727379906,2082.3586185688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1829.05939420182,1845.20510207844,1861.35080995505,1877.49651783167,1893.64222570829,1909.7879335849,1925.93364146152,1942.07934933813,1958.22505721475,1974.37076509137,1990.51647296798,2006.6621808446,2022.80788872122,2038.95359659783,2055.09930447445,2071.24501235106,2087.39072022768,2103.5364281043,2238.48684074984,2280.5677305066,2322.64862026335,2364.72951002011,2406.81039977687,2448.89128953363,2490.97217929038,2533.05306904714,2575.1339588039,2617.21484856065,2659.29573831741,2701.37662807417,2743.45751783092,2785.53840758768,2827.61929734444,2869.7001871012,2911.78107685795,2953.86196661471,1532.04752570038,1585.35009543639,1641.36858160365,1700.24136781292,1762.11388871062,1827.13898924907,1895.47730226248,1967.29764528152,2042.7774375667,2122.10313839083,2205.47070765314,2293.08608996301,2385.16572338921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4476.15708149071,4689.91588998145,4917.73287464598,5160.53259302054,5419.30040758704,5695.08648470358,5989.01005653088,6302.26396325081,6636.11949401087,6991.93154624087,7371.14412427993,7775.29619962919,8206.02795661298,8665.08744879547,9154.33769316691,9675.76423088972,10231.4831852888,10823.749849788,4133.65758649722,4170.57915833513,4208.00986502446,4245.95672734694,4284.4268628983,4323.42748742326,4362.96591616903,4403.04956525735,4443.68595307555,4484.88270168677,4526.64753825956,4568.98829651729,4611.91291820747,4655.42945459138,4699.54606795424,4744.27103313616,4789.61273908422,4835.57969042603,5189.68389579107,5201.70067751663,5213.71745924218,5225.73424096774,5237.7510226933,5249.76780441886,5261.78458614441,5273.80136786997,5285.81814959553,5297.83493132108,5309.85171304664,5321.8684947722,5333.88527649776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2362.3082162968,2438.68741107962,2515.06660586244,2591.44580064526,2667.82499542808,2744.2041902109,2820.58338499372,2896.96257977654,2973.34177455936,3049.72096934218,3126.100164125,3202.47935890782,3278.85855369064,3355.23774847346,3431.61694325628,3507.9961380391,3584.37533282192,3660.75452760474,2974.62211634137,3075.17089659371,3181.17744507495,3292.93800838269,3410.76491332217,3534.98743973688,3665.95274071613,3804.02681275139,3949.59551855245,4103.06566538195,4264.86614192157,4435.44911684719,4615.29130246245,4804.89528692206,5004.790938768,5215.53688770362,5437.72208574386,5671.96745310445,5585.16331010021,5693.09218776488,5801.02106542955,5908.94994309422,6016.87882075888,6124.80769842355,6232.73657608822,6340.66545375289,6448.59433141756,6556.52320908222,6664.45208674689,6772.38096441156,6880.30984207623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6403.13972821775,6596.64612594339,6790.15252366903,6983.65892139467,7177.16531912031,7370.67171684595,7564.17811457159,7757.68451229724,7951.19091002287,8144.69730774852,8338.20370547416,8531.7101031998,8725.21650092544,8918.72289865108,9112.22929637672,9305.73569410236,9499.242091828,9692.74848955364,5661.51075762221,5663.75994243605,5665.9955478852,5668.21774221791,5670.4266905426,5672.6225549059,5674.80549436826,5676.97566507727,5679.1332203387,5681.27831068538,5683.41108394405,5685.53168530012,5687.64025736057,5689.73694021496,5691.82187149461,5693.8951864301,5695.95701790705,5698.00749652029,7984.59143030409,8015.18692058047,8045.78241085685,8076.37790113323,8106.97339140961,8137.56888168599,8168.16437196237,8198.75986223876,8229.35535251514,8259.95084279152,8290.5463330679,8321.14182334428,8351.73731362066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2689.34067062969,2749.51396355181,2809.68725647392,2869.86054939603,2930.03384231815,2990.20713524026,3050.38042816238,3110.55372108449,3170.7270140066,3230.90030692872,3291.07359985083,3351.24689277295,3411.42018569506,3471.59347861717,3531.76677153929,3591.9400644614,3652.11335738352,3712.28665030563,2606.82647349537,2693.78388832153,2785.46540141575,2882.12765684329,2984.04124126174,3091.49144137426,3204.77904253267,3324.22117072588,3450.15218031073,3582.92458997013,3722.91006951864,3870.50048031781,4026.1089722137,4190.1711400673,4363.1462431152,4545.51849057407,4737.79839708748,4940.5242118096,2359.45347436544,2344.87539477611,2330.50251346801,2316.33194210909,2302.3608330229,2288.58637861636,2275.00581081551,2261.6164005093,2248.41545700112,2235.40032746809,2222.56839642796,2209.91708521353,2197.4438514544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3039.96991414068,3075.5511330676,3111.13235199452,3146.71357092144,3182.29478984836,3217.87600877528,3253.45722770221,3289.03844662913,3324.61966555605,3360.20088448297,3395.78210340989,3431.36332233681,3466.94454126373,3502.52576019065,3538.10697911757,3573.68819804449,3609.26941697142,3644.85063589834,4091.23721295579,4137.6346667687,4184.55829973189,4232.0140790801,4280.00803972064,4328.54628500081,4377.6349874841,4427.28038973513,4477.4888051135,4528.26661857667,4579.62028749193,4631.55634245758,4684.08138813338,4737.20210408053,4790.92524561103,4845.25764464681,4900.20621058848,4955.77793119406,4215.42654107914,4289.74516386563,4366.4902812868,4445.74111811826,4527.57948581554,4612.08986696899,4699.35950251596,4789.47848180056,4882.5398355738,4978.63963203019,5077.87707597994,5180.3546112591,5286.17802648339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2541.3474245207,2505.98791680042,2471.53264800898,2437.95849429391,2405.2429231426,2373.3639782602,2342.3002648341,2312.03093517535,2282.53567472717,2253.79468843136,2225.78868744324,2198.49887618648,2171.90693973878,2145.99503154033,2120.74576141646,2096.14218390662,2072.16778689186,2048.80648051308,2825.43838729786,2815.3639354731,2805.37126899331,2795.45972391738,2785.62864169415,2775.87736911864,2766.20525828862,2756.61166656164,2747.09595651223,2737.65749588965,2728.2956575758,2719.00981954358,2709.79936481558,2700.66368142306,2691.60216236532,2682.61420556932,2673.69921384972,2664.85659486919,3200.78076784291,3235.00778948505,3269.23481112719,3303.46183276933,3337.68885441147,3371.91587605361,3406.14289769575,3440.36991933789,3474.59694098003,3508.82396262217,3543.05098426431,3577.27800590645,3611.50502754859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3052.95373955196,3058.88470013562,3064.83528160785,3070.80554887875,3076.79556707317,3082.80540153139,3088.83511780986,3094.88478168189,3100.95445913842,3107.04421638865,3113.15411986086,3119.28423620306,3125.43463228375,3131.60537519266,3137.79653224145,3144.00817096448,3150.24035911951,3156.49316468847,3153.30674422934,3152.43916859213,3151.57159295491,3150.7040173177,3149.83644168049,3148.96886604327,3148.10129040606,3147.23371476884,3146.36613913163,3145.49856349442,3144.6309878572,3143.76341221999,3142.89583658278,3142.02826094556,3141.16068530835,3140.29310967113,3139.42553403392,3138.55795839671,3379.56028761986,3369.96270460825,3360.41045385817,3350.90332125178,3341.44109368256,3332.02355905055,3322.65050625762,3313.3217252027,3304.03700677712,3294.79614285985,3285.59892631291,3276.44515097669,3267.33461166533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
